Date : 2022-12-10 00:46:55
Directory : /Users/maciejfratczak/sps
Total : 489 files,  21437 codes, 310 comments, 2466 blanks, all 24213 lines

Languages
+--------------------+------------+------------+------------+------------+------------+
| language           | files      | code       | comment    | blank      | total      |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/role.ts                                                          | TypeScript         |          5 |          0 |          1 |          6 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/authorization/roles.decorator.ts                                               | TypeScript         |          4 |          0 |          2 |          6 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/cookie.service.ts                                                              | TypeScript         |        112 |          0 |         15 |        127 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/csrf/csrf.guard.ts                                                             | TypeScript         |         13 |          0 |          4 |         17 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/security.exception.ts                                                          | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/token.service.ts                                                               | TypeScript         |        108 |         14 |         21 |        143 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.command.ts                                                           | TypeScript         |         14 |          0 |          3 |         17 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.service.ts                                                           | TypeScript         |        139 |          0 |         13 |        152 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.store.ts                                                             | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/maciejfratczak/sps/api/src/infrastructure/security/user/user.ts                                                                   | TypeScript         |         29 |          0 |         14 |         43 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/controller/auth.controller.ts                                                       | TypeScript         |        102 |          0 |         11 |        113 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/controller/driver.controller.ts                                                     | TypeScript         |         82 |          0 |          7 |         89 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/controller/parking-lot.controller.ts                                                | TypeScript         |         63 |          0 |          6 |         69 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/controller/reservation.controller.ts                                                | TypeScript         |         89 |          0 |         10 |         99 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/controller/users.controller.ts                                                      | TypeScript         |         20 |          0 |          4 |         24 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/exception/exception.filter.ts                                                       | TypeScript         |         77 |          0 |          7 |         84 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/interceptor/current-user.interceptor.ts                                             | TypeScript         |         35 |          0 |          3 |         38 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/interceptor/not-found.interceptor.ts                                                | TypeScript         |         23 |          0 |          2 |         25 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/lang.service.ts                                                                     | TypeScript         |         15 |          0 |          3 |         18 |
| /Users/maciejfratczak/sps/api/src/infrastructure/web/lang/lang.module.ts                                                                 | TypeScript         |         13 |          0 |          3 |         16 |
| /Users/maciejfratczak/sps/api/src/main.ts                                                                                                | TypeScript         |         26 |          0 |          2 |         28 |
| /Users/maciejfratczak/sps/api/src/message.ts                                                                                             | TypeScript         |         73 |          6 |          7 |         86 |
| /Users/maciejfratczak/sps/api/src/persistence/persistence.module.ts                                                                      | TypeScript         |         73 |          0 |          6 |         79 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/driver/prisma.driver.finder.ts                                                      | TypeScript         |        190 |          0 |          6 |        196 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/driver/prisma.driver.repository.ts                                                  | TypeScript         |         71 |          0 |          5 |         76 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/parking-lot/prisma.parking-lot.finder.ts                                            | TypeScript         |         40 |          0 |          4 |         44 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/parking-lot/prisma.parking-lot.repository.ts                                        | TypeScript         |         62 |          0 |          4 |         66 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/prisma.id.generator.ts                                                              | TypeScript         |          9 |          0 |          2 |         11 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/prisma.service.ts                                                                   | TypeScript         |         69 |          0 |          7 |         76 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/reservation/prisma.parking-lot-availability.ts                                      | TypeScript         |         72 |          0 |          5 |         77 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/reservation/prisma.reservation.finder.ts                                            | TypeScript         |        180 |          2 |          9 |        191 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/reservation/prisma.reservation.repository.ts                                        | TypeScript         |        110 |          0 |          5 |        115 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/user/prisma.registration-token.store.ts                                             | TypeScript         |         42 |          0 |          5 |         47 |
| /Users/maciejfratczak/sps/api/src/persistence/prisma/user/prisma.user.store.ts                                                           | TypeScript         |         44 |          0 |          7 |         51 |
| /Users/maciejfratczak/sps/api/test/db.util.ts                                                                                            | TypeScript         |         31 |          0 |          3 |         34 |
| /Users/maciejfratczak/sps/api/test/docker-compose.yml                                                                                    | YAML               |         16 |          0 |          1 |         17 |
| /Users/maciejfratczak/sps/api/test/e2e/auth.controller.e2e-spec.ts                                                                       | TypeScript         |        381 |          4 |         28 |        413 |
| /Users/maciejfratczak/sps/api/test/e2e/driver.controller.e2e-spec.ts                                                                     | TypeScript         |        340 |          0 |         10 |        350 |
| /Users/maciejfratczak/sps/api/test/e2e/e2e-test.util.ts                                                                                  | TypeScript         |         94 |          0 |          2 |         96 |
| /Users/maciejfratczak/sps/api/test/e2e/parking-lot.controller.e2e-spec.ts                                                                | TypeScript         |        452 |          0 |          9 |        461 |
| /Users/maciejfratczak/sps/api/test/e2e/users.controller.e2e-spec.ts                                                                      | TypeScript         |        161 |          0 |          7 |        168 |
| /Users/maciejfratczak/sps/api/test/jest-e2e.json                                                                                         | JSON               |         10 |          0 |          1 |         11 |
| /Users/maciejfratczak/sps/api/test/jest.json                                                                                             | JSON               |         34 |          0 |          1 |         35 |
| /Users/maciejfratczak/sps/api/test/jest.setup.ts                                                                                         | TypeScript         |         12 |          5 |          2 |         19 |
| /Users/maciejfratczak/sps/api/test/misc.util.ts                                                                                          | TypeScript         |         72 |          0 |          4 |         76 |
| /Users/maciejfratczak/sps/api/test/unit/application/driver/driver.service.spec.ts                                                        | TypeScript         |         66 |          0 |          6 |         72 |
| /Users/maciejfratczak/sps/api/test/unit/application/parking-lot/parking-lot.service.spec.ts                                              | TypeScript         |         98 |          0 |          6 |        104 |
| /Users/maciejfratczak/sps/api/test/unit/application/reservation/reservation.service.spec.ts                                              | TypeScript         |        108 |          0 |         13 |        121 |
| /Users/maciejfratczak/sps/api/test/unit/domain/driver/driver.spec.ts                                                                     | TypeScript         |         66 |          0 |          5 |         71 |
| /Users/maciejfratczak/sps/api/test/unit/domain/parking-lot/operation-time.spec.ts                                                        | TypeScript         |        175 |          0 |         12 |        187 |
| /Users/maciejfratczak/sps/api/test/unit/domain/parking-lot/parking-lot.spec.ts                                                           | TypeScript         |        125 |          0 |          7 |        132 |
| /Users/maciejfratczak/sps/api/test/unit/domain/reservation/parking-ticket.spec.ts                                                        | TypeScript         |         75 |          0 |          4 |         79 |
| /Users/maciejfratczak/sps/api/test/unit/domain/reservation/reservation.factory.spec.ts                                                   | TypeScript         |         60 |          0 |          5 |         65 |
| /Users/maciejfratczak/sps/api/test/unit/domain/reservation/reservation.spec.ts                                                           | TypeScript         |        335 |          1 |         15 |        351 |
| /Users/maciejfratczak/sps/api/test/unit/domain/reservation/scheduled-parking-time.spec.ts                                                | TypeScript         |        115 |          0 |          5 |        120 |
| /Users/maciejfratczak/sps/api/test/unit/domain/time/moment.spec.ts                                                                       | TypeScript         |         46 |          0 |          8 |         54 |
| /Users/maciejfratczak/sps/api/test/unit/domain/time/period.spec.ts                                                                       | TypeScript         |         35 |          0 |          3 |         38 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/email/email.service.spec.ts                                                       | TypeScript         |         93 |          0 |          4 |         97 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/authentication/authentication.service.spec.ts                            | TypeScript         |        687 |         34 |         43 |        764 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/authorization/jwt.strategy.spec.ts                                       | TypeScript         |         53 |          1 |          4 |         58 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/authorization/policy/driver.policy.spec.ts                               | TypeScript         |         58 |          0 |          5 |         63 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/authorization/policy/reservation.policy.spec.ts                          | TypeScript         |        108 |          0 |          7 |        115 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/authorization/reservation.authorization.service.spec.ts                  | TypeScript         |        160 |          0 |         18 |        178 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/cookie.service.spec.ts                                                   | TypeScript         |        196 |         23 |         25 |        244 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/csrf/csrf.guard.spec.ts                                                  | TypeScript         |         61 |          0 |          5 |         66 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/token.service.spec.ts                                                    | TypeScript         |        233 |         28 |         34 |        295 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/security/user/user.service.spec.ts                                                | TypeScript         |        276 |          7 |         18 |        301 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/web/controller/auth.controller.spec.ts                                            | TypeScript         |         81 |          0 |         18 |         99 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/web/controller/driver.controller.spec.ts                                          | TypeScript         |         50 |          0 |          8 |         58 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/web/controller/parking-lot.controller.spec.ts                                     | TypeScript         |         46 |          0 |          9 |         55 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/web/controller/reservation.controller.spec.ts                                     | TypeScript         |         53 |          0 |         11 |         64 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/web/controller/users.controller.spec.ts                                           | TypeScript         |         29 |          0 |          4 |         33 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/web/interceptor/current-user.interceptor.spec.ts                                  | TypeScript         |         60 |          3 |          4 |         67 |
| /Users/maciejfratczak/sps/api/test/unit/infrastructure/web/interceptor/not-found.interceptor.spec.ts                                     | TypeScript         |         31 |          0 |          2 |         33 |
| /Users/maciejfratczak/sps/api/test/unit/persistence/prisma.driver.repository.spec.ts                                                     | TypeScript         |         92 |          0 |          6 |         98 |
| /Users/maciejfratczak/sps/api/test/unit/persistence/prisma.parking-lot.repository.spec.ts                                                | TypeScript         |         98 |          0 |          8 |        106 |
| /Users/maciejfratczak/sps/api/test/unit/persistence/prisma.registration-token.store.spec.ts                                              | TypeScript         |         68 |          0 |          6 |         74 |
| /Users/maciejfratczak/sps/api/test/unit/persistence/prisma.service.spec.ts                                                               | TypeScript         |         14 |          0 |          5 |         19 |
| /Users/maciejfratczak/sps/api/test/unit/persistence/prisma.user.store.spec.ts                                                            | TypeScript         |         90 |          0 |          7 |         97 |
| /Users/maciejfratczak/sps/api/tsconfig.build.json                                                                                        | JSON               |          3 |          2 |          0 |          5 |
| /Users/maciejfratczak/sps/api/tsconfig.json                                                                                              | JSON with Comments |         21 |          0 |          1 |         22 |
| /Users/maciejfratczak/sps/docker-compose.dev.yml                                                                                         | YAML               |         19 |          0 |          1 |         20 |
| /Users/maciejfratczak/sps/docker-compose.yml                                                                                             | YAML               |          8 |          0 |          1 |          9 |
| /Users/maciejfratczak/sps/frontend/.eslintrc.js                                                                                          | JavaScript         |         25 |          0 |          1 |         26 |
| /Users/maciejfratczak/sps/frontend/.prettierrc                                                                                           | JSON               |          4 |          0 |          1 |          5 |
| /Users/maciejfratczak/sps/frontend/angular.json                                                                                          | JSON               |        128 |          0 |          1 |        129 |
| /Users/maciejfratczak/sps/frontend/karma.conf.js                                                                                         | JavaScript         |         32 |          2 |          2 |         36 |
| /Users/maciejfratczak/sps/frontend/package.json                                                                                          | JSON               |         65 |          0 |          1 |         66 |
| /Users/maciejfratczak/sps/frontend/src/_theme.scss                                                                                       | SCSS               |          5 |          0 |          4 |          9 |
| /Users/maciejfratczak/sps/frontend/src/_variables.scss                                                                                   | SCSS               |        120 |          8 |         23 |        151 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/admin-dashboard.component.html                                                | HTML               |          9 |          0 |          2 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/admin-dashboard.component.scss                                                | SCSS               |         25 |          0 |          4 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/admin-dashboard.component.ts                                                  | TypeScript         |         38 |          0 |          2 |         40 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/assign-parking-lot-dialog/assign-parking-lot-dialog.component.html    | HTML               |         30 |          0 |          1 |         31 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/assign-parking-lot-dialog/assign-parking-lot-dialog.component.scss    | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/assign-parking-lot-dialog/assign-parking-lot-dialog.component.spec.ts | TypeScript         |         94 |          0 |          7 |        101 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/assign-parking-lot-dialog/assign-parking-lot-dialog.component.ts      | TypeScript         |         29 |          0 |          7 |         36 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/details/details.component.html                                        | HTML               |         44 |          0 |          3 |         47 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/details/details.component.scss                                        | SCSS               |         20 |          0 |          3 |         23 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/details/details.component.spec.ts                                     | TypeScript         |        155 |          9 |         17 |        181 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/details/details.component.ts                                          | TypeScript         |         67 |          0 |          7 |         74 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/list/list.component.html                                              | HTML               |         10 |          0 |          1 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/list/list.component.scss                                              | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/list/list.component.spec.ts                                           | TypeScript         |         63 |          0 |          5 |         68 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/list/list.component.ts                                                | TypeScript         |         44 |          0 |          7 |         51 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/module.ts                                                             | TypeScript         |         24 |          0 |          2 |         26 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/routing.ts                                                            | TypeScript         |         34 |          0 |          2 |         36 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/state/drivers.query.ts                                                | TypeScript         |         42 |          0 |          6 |         48 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/state/drivers.service.spec.ts                                         | TypeScript         |        113 |          0 |         18 |        131 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/state/drivers.service.ts                                              | TypeScript         |         68 |          0 |          8 |         76 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/drivers/state/drivers.store.ts                                                | TypeScript         |         14 |          0 |          2 |         16 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/module.ts                                                                     | TypeScript         |         19 |          0 |          3 |         22 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/panel/panel.component.html                                                    | HTML               |         30 |          0 |          2 |         32 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/panel/panel.component.scss                                                    | SCSS               |         13 |          0 |          1 |         14 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/panel/panel.component.ts                                                      | TypeScript         |         12 |          0 |          3 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-capacity-dialog/change-capacity-dialog.component.html          | HTML               |         26 |          0 |          1 |         27 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-capacity-dialog/change-capacity-dialog.component.scss          | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-capacity-dialog/change-capacity-dialog.component.spec.ts       | TypeScript         |         72 |          0 |         12 |         84 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-capacity-dialog/change-capacity-dialog.component.ts            | TypeScript         |         24 |          0 |          5 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-hours-dialog/change-hours-dialog.component.html                | HTML               |         24 |          0 |          1 |         25 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-hours-dialog/change-hours-dialog.component.scss                | SCSS               |          8 |          0 |          1 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-hours-dialog/change-hours-dialog.component.spec.ts             | TypeScript         |         78 |          0 |         11 |         89 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/change-hours-dialog/change-hours-dialog.component.ts                  | TypeScript         |         43 |          0 |          7 |         50 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/create/create.component.html                                          | HTML               |         78 |          0 |          1 |         79 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/create/create.component.scss                                          | SCSS               |         16 |          0 |          4 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/create/create.component.ts                                            | TypeScript         |         64 |          0 |          7 |         71 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/details/details.component.html                                        | HTML               |         38 |          0 |          2 |         40 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/details/details.component.scss                                        | SCSS               |         41 |          0 |         13 |         54 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/details/details.component.spec.ts                                     | TypeScript         |        121 |          0 |         21 |        142 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/details/details.component.ts                                          | TypeScript         |         57 |          0 |          7 |         64 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/list/list.component.html                                              | HTML               |         18 |          0 |          2 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/list/list.component.scss                                              | SCSS               |          0 |          0 |          4 |          4 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/list/list.component.ts                                                | TypeScript         |         32 |          0 |          5 |         37 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/module.ts                                                             | TypeScript         |         26 |          0 |          3 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/routing.ts                                                            | TypeScript         |         52 |          0 |          3 |         55 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/state/parking-lot.query.ts                                            | TypeScript         |         16 |          0 |          4 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/state/parking-lot.service.spec.ts                                     | TypeScript         |        122 |          0 |         11 |        133 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/state/parking-lot.service.ts                                          | TypeScript         |         67 |          0 |          9 |         76 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/parking/state/parking-lot.store.ts                                            | TypeScript         |         11 |          0 |          2 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/reservations/list/reservations-list.component.html                            | HTML               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/reservations/list/reservations-list.component.scss                            | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/reservations/list/reservations-list.component.ts                              | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/reservations/module.ts                                                        | TypeScript         |          8 |          0 |          2 |         10 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/reservations/routing.ts                                                       | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/routing.ts                                                                    | TypeScript         |         60 |          0 |          4 |         64 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/edit-role-dialog/edit-role-dialog.component.html                        | HTML               |         28 |          0 |          1 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/edit-role-dialog/edit-role-dialog.component.scss                        | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/edit-role-dialog/edit-role-dialog.component.ts                          | TypeScript         |         30 |          0 |          7 |         37 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/list/list.component.html                                                | HTML               |         10 |          0 |          1 |         11 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/list/list.component.scss                                                | SCSS               |          1 |          0 |          2 |          3 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/list/list.component.spec.ts                                             | TypeScript         |         83 |          0 |          8 |         91 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/list/list.component.ts                                                  | TypeScript         |         57 |          0 |          6 |         63 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/module.ts                                                               | TypeScript         |         17 |          0 |          2 |         19 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/routing.ts                                                              | TypeScript         |         22 |          0 |          4 |         26 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/state/user.api.spec.ts                                                  | TypeScript         |         44 |          0 |          9 |         53 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/state/user.api.ts                                                       | TypeScript         |         24 |          0 |          5 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/state/user.model.ts                                                     | TypeScript         |         24 |          0 |          4 |         28 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/state/user.query.ts                                                     | TypeScript         |         22 |          0 |          3 |         25 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/state/user.service.spec.ts                                              | TypeScript         |         62 |          0 |          4 |         66 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/state/user.service.ts                                                   | TypeScript         |         42 |          0 |          4 |         46 |
| /Users/maciejfratczak/sps/frontend/src/app/admin-dashboard/users/state/user.store.ts                                                     | TypeScript         |         15 |          0 |          2 |         17 |
| /Users/maciejfratczak/sps/frontend/src/app/app.component.ts                                                                              | TypeScript         |          6 |          0 |          2 |          8 |
| /Users/maciejfratczak/sps/frontend/src/app/app.module.ts                                                                                 | TypeScript         |         35 |          0 |          4 |         39 |
| /Users/maciejfratczak/sps/frontend/src/app/app.routing.module.ts                                                                         | TypeScript         |         46 |          0 |          3 |         49 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/auth.component.html                                                                      | HTML               |          6 |          0 |          1 |          7 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/auth.component.scss                                                                      | SCSS               |         16 |          0 |          2 |         18 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/auth.component.spec.ts                                                                   | TypeScript         |         22 |          0 |          7 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/auth.component.ts                                                                        | TypeScript         |          7 |          0 |          2 |          9 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/auth.module.ts                                                                           | TypeScript         |         30 |          0 |          2 |         32 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/auth.routing.module.ts                                                                   | TypeScript         |         42 |          0 |          3 |         45 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/confirm-account/confirm-account.component.spec.ts                                        | TypeScript         |         62 |          9 |         10 |         81 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/confirm-account/confirm-account.component.ts                                             | TypeScript         |         43 |          0 |          4 |         47 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/resend-account-activation/resend-account-activation.component.html                       | HTML               |          5 |          0 |          2 |          7 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/resend-account-activation/resend-account-activation.component.scss                       | SCSS               |          6 |          0 |          1 |          7 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/resend-account-activation/resend-account-activation.component.spec.ts                    | TypeScript         |         65 |          0 |          6 |         71 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/resend-account-activation/resend-account-activation.component.ts                         | TypeScript         |         32 |          0 |          6 |         38 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/email-sign-in-form/email-sign-in-form.component.html                             | HTML               |         28 |          0 |          1 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/email-sign-in-form/email-sign-in-form.component.scss                             | SCSS               |         14 |          0 |          3 |         17 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/email-sign-in-form/email-sign-in-form.component.spec.ts                          | TypeScript         |        152 |          0 |         14 |        166 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/email-sign-in-form/email-sign-in-form.component.ts                               | TypeScript         |         44 |          0 |          9 |         53 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/sign-in.component.html                                                           | HTML               |         26 |          0 |          3 |         29 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/sign-in.component.scss                                                           | SCSS               |         12 |          0 |          1 |         13 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/sign-in.component.spec.ts                                                        | TypeScript         |        141 |          0 |          9 |        150 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-in/sign-in.component.ts                                                             | TypeScript         |         45 |          0 |          9 |         54 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-up/sign-up.component.html                                                           | HTML               |         49 |          0 |          1 |         50 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-up/sign-up.component.scss                                                           | SCSS               |         19 |          0 |          5 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-up/sign-up.component.spec.ts                                                        | TypeScript         |        188 |          0 |         18 |        206 |
| /Users/maciejfratczak/sps/frontend/src/app/auth/sign-up/sign-up.component.ts                                                             | TypeScript         |         44 |          0 |          5 |         49 |
| /Users/maciejfratczak/sps/frontend/src/app/clerk-dashboard/dashboard/dashboard.component.html                                            | HTML               |          1 |          0 |          1 |          2 |
| /Users/maciejfratczak/sps/frontend/src/app/clerk-dashboard/dashboard/dashboard.component.scss                                            | SCSS               |          0 |          0 |          1 |          1 |
| /Users/maciejfratczak/sps/frontend/src/app/clerk-dashboard/dashboard/dashboard.component.spec.ts                                         | TypeScript         |         18 |          0 |          6 |         24 |
| /Users/maciejfratczak/sps/frontend/src/app/clerk-dashboard/dashboard/dashboard.component.ts                                              | TypeScript         |         11 |          0 |          5 |         16 |
| /Users/maciejfratczak/sps/frontend/src/app/clerk-dashboard/module.ts                                                                     | TypeScript         |         18 |          0 |          2 |         20 |
| /Users/maciejfratczak/sps/frontend/src/app/clerk-dashboard/routing.ts                                                                    | TypeScript         |         13 |          0 |          2 |         15 |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/auth.api.spec.ts                                                                     | TypeScript         |        129 |          0 |         33 |        162 |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/auth.api.ts                                                                          | TypeScript         |         77 |          0 |         11 |         88 |
| /Users/maciejfratczak/sps/frontend/src/app/core/api/base.api.ts                                                                          | TypeScript         |         36 |          0 |          6 |         42 |
